70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-23/17-20-46.649,7.208,7.209,17.2,20.5,25.91,25.92,3.717,15.490
24-01-23/17-20-50.080,7.207,7.210,10.6,20.0,25.90,25.91,30.776,10.274
24-01-23/17-20-52.677,7.208,7.210,0.8,71.1,25.90,25.91,13.714,11.085
24-01-23/17-20-56.008,7.207,7.208,10.6,31.8,25.89,25.90,75.945,3.890
24-01-23/17-20-59.009,7.208,7.210,10.0,21.0,25.90,25.91,10.457,55.847
24-01-23/17-21-01.694,7.211,7.212,10.0,19.1,25.91,25.92,27.509,107.343
24-01-23/17-21-04.486,7.210,7.212,11.5,4.0,25.90,25.91,9.688,52.207
24-01-23/17-21-07.919,7.210,7.212,12.3,4.0,25.90,25.91,9.688,52.207
24-01-23/17-21-09.387,7.210,7.212,14.0,4.0,25.90,25.91,9.688,54.269
24-01-23/17-21-13.610,7.210,7.212,14.0,4.0,25.90,25.91,1.930,67.779
24-01-23/17-21-16.387,7.209,7.211,55.9,43.1,25.89,25.90,14.529,20.549
24-01-23/17-21-19.784,7.211,7.212,10.0,26.8,25.89,25.90,13.633,5.535
24-01-23/17-21-22.991,7.210,7.211,3.9,1.4,25.89,25.90,13.633,15.202
24-01-23/17-21-25.535,7.205,7.208,25.2,30.8,25.88,25.89,65.991,6.277
24-01-23/17-21-29.110,7.207,7.211,5.6,11.0,25.90,25.91,39.547,12.870
24-01-23/17-21-31.869,7.206,7.209,34.4,32.4,25.89,25.90,6.430,20.317
24-01-23/17-21-34.959,7.205,7.208,2.0,10.0,25.88,25.89,259.165,4.748
24-01-23/17-21-37.629,7.202,7.206,12.9,20.8,25.88,25.89,18.757,17.877
24-01-23/17-21-40.982,7.203,7.207,35.2,1.9,25.88,25.89,10.412,3.885
24-01-23/17-21-43.914,7.202,7.206,63.6,2.7,25.88,25.89,10.412,9.705
24-01-23/17-21-46.734,7.201,7.203,24.1,13.8,25.88,25.89,11.727,31.547
24-01-23/17-21-49.699,7.202,7.205,11.1,1.5,25.88,25.89,22.844,1.808
24-01-23/17-21-52.806,7.200,7.204,59.5,118.7,25.88,25.89,2.690,19.543
24-01-23/17-21-55.914,7.200,7.203,23.8,69.6,25.88,25.89,2.690,25.337
24-01-23/17-21-58.799,7.196,7.198,1.7,20.8,25.87,25.88,33.220,24.231
24-01-23/17-22-01.886,7.193,7.197,46.3,28.6,25.87,25.88,63.719,17.834
24-01-23/17-22-05.108,7.200,7.205,36.6,9.0,25.90,25.91,8.703,19.642
24-01-23/17-22-07.323,7.201,7.205,11.9,9.8,25.89,25.90,24.248,12.378
24-01-23/17-22-10.381,7.204,7.206,35.8,2.9,25.90,25.91,13.512,14.966
24-01-23/17-22-13.855,7.203,7.206,9.6,2.9,25.89,25.90,12.797,23.629
24-01-23/17-22-16.750,7.204,7.207,7.4,8.4,25.90,25.91,14.156,23.157
24-01-23/17-22-19.879,7.208,7.210,6.9,73.0,25.90,25.91,49.586,3.272
24-01-23/17-22-22.678,7.208,7.210,22.0,74.2,25.91,25.92,18.966,90.287
24-01-23/17-22-25.957,7.206,7.209,80.8,36.0,25.89,25.90,71.924,33.970
24-01-23/17-22-28.781,7.203,7.206,13.6,0.2,25.89,25.90,29.193,58.347
24-01-23/17-22-31.649,7.199,7.201,8.9,8.8,25.87,25.88,48.754,23.637
24-01-23/17-22-35.015,7.198,7.201,38.7,21.9,25.88,25.89,14.098,140.946
24-01-23/17-22-37.482,7.198,7.200,1.7,58.1,25.87,25.88,11.802,7.880
24-01-23/17-22-41.105,7.200,7.204,23.5,52.6,25.88,25.89,15.085,127.426
