Date,zenBidPrice,zenAskPrice,zenBidQty,zenAskQty,dashBidPrice,dashAskPrice,dashBidQty,dashAskQty

70-01-01/03-00-00.000,emp,emp,emp,emp,emp,emp,emp,emp
24-01-22/14-18-35.711,8.037,8.040,13.7,27.5,28.14,28.15,14.920,13.279
24-01-22/14-18-41.217,8.036,8.038,14.1,10.5,28.14,28.15,13.459,9.752
24-01-22/14-18-43.811,8.037,8.038,10.0,10.5,28.14,28.15,14.711,12.943
24-01-22/14-18-46.532,8.036,8.039,17.6,12.3,28.14,28.15,14.711,12.527
24-01-22/14-18-50.152,8.032,8.033,5.6,7.5,28.14,28.15,15.147,12.853
24-01-22/14-18-52.952,8.029,8.031,8.7,12.4,28.14,28.15,15.530,13.313
24-01-22/14-18-55.925,8.030,8.033,13.0,16.1,28.12,28.13,55.414,5.558
24-01-22/14-18-57.905,8.029,8.032,26.8,11.2,28.12,28.13,56.986,7.990
24-01-22/14-19-01.782,8.031,8.033,11.2,16.1,28.12,28.13,58.526,14.764
24-01-22/14-19-05.027,8.026,8.029,59.9,35.7,28.11,28.12,22.174,15.695
24-01-22/14-19-07.542,8.026,8.028,18.1,19.6,28.11,28.12,2.180,20.343
24-01-22/14-19-10.882,8.026,8.028,6.9,20.5,28.11,28.12,2.180,25.298
24-01-22/14-19-13.894,8.025,8.028,10.5,20.5,28.11,28.12,3.995,70.676
24-01-22/14-19-16.808,8.025,8.027,10.5,13.8,28.11,28.12,4.651,70.370
24-01-22/14-19-19.291,8.025,8.027,10.5,6.8,28.11,28.12,4.651,70.370
24-01-22/14-19-20.968,8.025,8.027,10.5,6.8,28.11,28.12,5.349,68.355
24-01-22/14-19-25.934,8.025,8.027,13.0,5.4,28.11,28.12,7.844,69.658
24-01-22/14-19-29.213,8.025,8.026,5.2,8.4,28.11,28.12,6.919,20.407
24-01-22/14-19-31.334,8.025,8.026,7.4,8.4,28.11,28.12,6.067,20.364
24-01-22/14-19-34.524,8.025,8.026,7.4,8.4,28.11,28.12,8.263,21.186
24-01-22/14-19-38.214,8.025,8.026,17.0,13.7,28.11,28.12,8.263,21.186
24-01-22/14-19-40.519,8.027,8.028,30.2,31.6,28.11,28.12,4.715,21.186
